token	count	facet_final	facet_source	canonical_final	aat_id	embedding_suggestion	embedding_similarity	note
color engraving from a resingrave block	1	technique	rule	engraving from a resingrave block				
transfer lithograph in 24 colors plus blackon wove paper	1	technique	rule	transfer lithograph in 24 colors plus blackon wove paper				
bromide print	1	technique	rule	bromide				
colro screenprint poster	1	technique	rule	colro screenprint				
color screenprint poster printed in seven colorsr	1	technique	rule	screenprint poster printed in seven colorsr				
handcolored lithograph	1	technique	rule	lithograph				
purple velvet	1	material	rule	purple velvet				
albumen silver print microphotograph	1	technique	rule	albumen silver print microphotograph				
polychrome satin trim	1	material	rule	polychrome satin trim				
hollow ceramic	1	material	rule	hollow ceramic				
cut- paper collage	1	support	rule	cut- paper collage				
130 c-print photographs mounted	1	technique	rule	c-print photographs mounted				
burgundy silk satin back crepe	1	material	rule	burgundy silk satin back crepe				
inscribed clay	1	material	rule	inscribed clay				
glass seed beads sewn to leather hide	1	material	rule	glass seed beads sewn to leather hide				
grey pinstripe wool	1	material	rule	grey pinstripe wool				
russian cotton trade cloth lining	1	material	rule	russian cotton trade cloth lining				
open weave linen burlap	1	material	rule	open weave linen burlap				
gelatin silver	1	material	rule	gelatin silver				
colro aquatint etching	1	technique	rule	colro aquatint etching				
black stencil duplicate print handbill	1	technique	rule	black stencil duplicate print handbill				
cloisonné enamel colors	1	material	rule	cloisonné enamel color				
2 video cassetes + 1 compact	1		unresolved	video cassetes + 1 compact				
sugar lift aquatint in yellow	1	technique	rule	sugar lift aquatint in yellow				
gelatin silver print mounted to sintra	1	technique	rule	gelatin silver print mounted to sintra				
chiaroscuro wood engraving printed from three blocks	1	technique	rule	chiaroscuro wood engraving printed from three block				
engraving in sepia ink	1	technique	rule	engraving in sepia ink				
crayon manner engravingprii=nted in red ink	1	technique	rule	crayon manner engravingprii=nted in red ink				
38 lithographs	1	technique	rule	lithograph				
green calf mosaic onlay	1	material	rule	green calf mosaic onlay				
color woodcut title label	1	technique	rule	woodcut title label				
flexible wood	1	material	rule	flexible wood				
wool ?	1	material	rule	wool ?				
silver filigree sticks	1	material	rule	silver filigree stick				
gold metallic braid	1	material	rule	gold metallic braid				
41 gillotage prints	1	technique	rule	gillotage				
screenprint in five colors	1	technique	rule	screenprint in five color				
silk lined	1	material	rule	silk lined				
lithograph printed in silver leaf	1	technique	rule	lithograph printed in silver leaf				
paperv: graphite	1	material	rule	paperv: graphite				
oak veneer plywood	1	material	rule	oak veneer plywood				
monotype compostion	1	technique	rule	monotype compostion				
yatsuo paper	1	support	rule	yatsuo paper				
birch bark paper	1	support	rule	birch bark paper				
letterpress printed certificate	1	technique	rule	letterpress printed certificate				
five monotypes	1	technique	rule	monotype				
2. back endpapers are-verso in grey	1	not_medium	rule	2. back endpapers are-verso in grey				
warp-resist dyeing supplemenatry-weft patterning	1		unresolved	warp-resist dyeing supplemenatry-weft patterning				
san francisco. century expanded iitalic	1		unresolved	san francisco. century expanded iitalic				
enamelled bronze	1	material	rule	enamelled bronze				
coarse flecked tan wove paper	1	support	rule	coarse flecked tan wove paper				
flecked blue paper	1	support	rule	flecked blue paper				
affixed to cardboard mount.watercolor	1	material	rule	affixed to cardboard mount.watercolor				
central image printed in bistre ink	1	technique	rule	central image printed in bistre ink				
oil based ink	1	material	rule	oil based ink				
black lead	1	material	rule	black lead				
spit bite aquatint printed in blue	1	technique	rule	spit bite aquatint printed in blue				
monoprint color	1	technique	rule	monoprint color				
twelve color linocuts printed	1	technique	rule	color linocuts printed				
color lithograph triptych	1	technique	rule	lithograph triptych				
lacquered paper	1	material	rule	lacquered paper				
blue cut paper mounted to white sheet	1	support	rule	blue cut paper mounted to white sheet				
408 pages offset	1		unresolved	pages offset		offset printing	0.54	
cut-	1	technique	embedding	cut-		die-cut	0.726	
the book's covers repeated front	1	not_medium	rule	the book's covers repeated front		double leaf books	0.53	
in japan cover	1	not_medium	rule	in japan		japanning	0.692	
top edge partially uncut	1		unresolved	top edge partially uncut		undercutting	0.428	
each cover	1		unresolved	each		counting	0.518	
gilt buttons	1	technique	embedding	gilt button		gilt	0.708	
plain weave cellulose gauze	1	material	embedding	plain weave cellulose gauze		gauze weave	0.813	
color offset lithgraphs	1	technique	embedding	offset lithgraph		lithography, offset	0.63	
original in fine binding	1	technique	embedding	original in fine binding		binding, hand	0.59	
die cut toys	1	technique	embedding	die cut toy		die cutting	0.694	
electrotype reproductions	1	technique	embedding	electrotype reproduction		electrolytic reproduction process	0.771	
12 pieces	1	technique	embedding	piece		counting	0.608	
hemlock bark	1	material	embedding	hemlock bark		hemlock (wood)	0.73	
braided ribbon trim	1	material	embedding	braided ribbon trim		braid (trimming)	0.81	
eighty reproductions	1		unresolved	eighty reproduction		reproduction (copying)	0.512	
turkey feather	1	material	embedding	turkey feather		feather (material)	0.662	
unique diptych	1		unresolved	unique diptych		dip brazing	0.475	
original wrappers bound in	1	material	embedding	original wrappers bound in		wrapping-paper	0.64	
shark skin	1	material	embedding	shark skin		fish skin	0.773	
fine tulle	1	material	embedding	fine tulle		tulle (meshed textile)	0.645	
20 pages	1	material	embedding	page		book paper	0.551	
reproductive illustrations	1	technique	embedding	reproductive illustration		illustrated	0.553	
loose as issued in a cloth portfolio	1	not_medium	rule	loose as issued in a cloth portfolio		cloths, binding	0.454	
dry brush	1	technique	embedding	dry brush		dry brush technique	0.913	
plain compound twill	1	material	embedding	plain compound twill		twill	0.671	
white bird	1	technique	embedding	white bird		flying white	0.681	
single raised bands	1	material	embedding	single raised band		cross-band	0.554	
double-folded restaurant menu	1		unresolved	double-folded restaurant menu		folding, accordion	0.543	
the same poem repeated	1	not_medium	rule	the same poem repeated		repetition (process)	0.502	
amate made by jose daniel santos de la puerta	1		unresolved	amate made by jose daniel santos de la puerta		amate paper	0.504	
inside a brown folder	1		unresolved	inside a brown folder		transparent brown	0.511	
26 illustrations by various artists	1	material	embedding	illustrations by various artist		artists' materials	0.617	
grouped into 5 seperate folders	1		unresolved	grouped into 5 seperate folder		materials, multiple (materials for groups)	0.391	
ribemont-dessaignes	1	material	embedding	ribemont-dessaigne		riband (ribbon)	0.566	
101 pages	1		unresolved	page		paginated	0.509	
upplementary-weft patterning	1	technique	embedding	upplementary-weft patterning		weft-patterning	0.844	
brocaded moire	1	technique	embedding	brocaded moire		brocaded	0.708	
stationery	1		unresolved	stationery		art paper	0.522	
dyed nylon monofilament	1	material	embedding	dyed nylon monofilament		monofilament	0.694	
seven individual folders covered	1		unresolved	individual folders covered		nautilus	0.345	
1/4	1		unresolved	1/4		fractionation	0.54	
vine motif	1	material	embedding	vine motif		vine black	0.592	
publisher's device	1		unresolved	publisher's device		albumen paper	0.444	
title in black letters	1		unresolved	title in black letter		black slate	0.513	
paradisaea raggiana	1		unresolved	paradisaea raggiana		theriaca	0.526	
murre breasts	1	material	embedding	murre breast		muslin	0.552	
based	1		unresolved	based		constructed	0.438	
reinforced counterproof: sanguine	1		unresolved	reinforced counterproof: sanguine		reinforced	0.539	
tickets	1		unresolved	ticket		shipping	0.476	
posters	1	material	embedding	poster		poster board	0.76	
baleen - whale	1	material	embedding	baleen - whale		baleen	0.741	
chiffon inset	1	material	embedding	chiffon inset		chiffon	0.75	
colophon page in bound book	1		unresolved	colophon page in bound book		binding of books	0.5	
fiber - creeping vine	1		unresolved	fiber - creeping vine		vine black	0.538	
red vestee	1	material	embedding	red vestee		vestorian blue	0.646	
paste- resist dyeing	1	technique	embedding	paste- resist dyeing		resist dyeing	0.82	
38 reproductions	1		unresolved	reproduction		reproduction (copying)	0.506	
string into two groups	1		unresolved	string into two group		string (fiber product)	0.466	
2 proofs	1		unresolved	proof		counter-prove (printing)	0.546	
manufactures imperiales buff japon ancien	1		unresolved	manufactures imperiales buff japon ancien		jaune antique dore	0.475	
damask?	1	material	embedding	damask?		damask	0.95	
polychrome raffia flowers	1	material	embedding	polychrome raffia flower		flowers (plant materials)	0.594	
split	1	technique	embedding	split		splitting	0.946	
discontunuous supplementary weft patterning	1	technique	embedding	discontunuous supplementary weft patterning		weft-patterning	0.827	
dish mops	1		unresolved	dish mop		mottling	0.542	
scouring pads	1	technique	embedding	scouring pad		scouring	0.68	
photomechanicals	1	technique	embedding	photomechanical		photomechanical processes	0.862	
brooch	1	technique	embedding	brooch		bromoil	0.718	
potfolio	1	material	embedding	potfolio		potash, caustic	0.593	
12 cliché-verre mounted	1		unresolved	cliché-verre mounted		mounted	0.538	
a centaur	1	not_medium	rule	a centaur		centrifugal-cast	0.443	
embossed background	1	technique	embedding	embossed background		embossed	0.739	
dark ecru embroidered net	1	material	embedding	dark ecru embroidered net		embroidered netting	0.708	
elm	1	material	embedding	elm		elm (wood)	0.848	
sandblasted	1	material	embedding	sandblasted		sand	0.65	
encrusted surface	1	technique	embedding	encrusted surface		hardening, surface	0.594	
drawn thread work	1	technique	embedding	drawn thread work		drawn	0.666	
eyelet embroiderery	1	technique	embedding	eyelet embroiderery		embroidering	0.66	
cochineal dyed	1	material	embedding	cochineal dyed		cochineal (colorant)	0.863	
images from two series	1		unresolved	images from two serie		picture processing	0.499	
a japan nacré folder	1	not_medium	rule	a japan nacré folder		japan paper	0.532	
quotations	1		unresolved	quotation		written	0.403	
yellow cloth slipcase	1	material	embedding	yellow cloth slipcase		rubberized cloth	0.593	
native dyes	1	material	embedding	native dye		natural dyes	0.825	
white lime	1	material	embedding	white lime		lime white	0.965	
white nylon knit	1	technique	embedding	white nylon knit		knitted	0.725	
costume jewelry	1	material	embedding	costume jewelry		dressed stone	0.57	
no.39-70	1		unresolved	no.39-70		tied	0.337	
caribou fur	1	material	embedding	caribou fur		caribou hair	0.801	
us one cent postcard	1		unresolved	us one cent postcard		card board	0.469	
die-cut holes	1	technique	embedding	die-cut hole		die-cut	0.721	
warp-predominnant plain weave	1	material	embedding	warp-predominnant plain weave		pulled warp weave	0.757	
pate-sur-pate decoration	1	technique	embedding	pate-sur-pate decoration		patinaed	0.596	
applied buttons	1	technique	embedding	applied button		buttoning	0.721	
museum buttons	1	material	embedding	museum button		museum board	0.654	
18 in clor	1		unresolved	in clor		clt	0.521	
loose within cream wove wrappers	1	not_medium	rule	loose within cream wove wrapper		food wrap	0.518	
cloth.	1	material	embedding	cloth.		cloth	0.934	
metal polyester strip weft twill weave	1	material	embedding	metal polyester strip weft twill weave		twill weave	0.704	
punto en aria edging	1	material	embedding	punto en aria edging		punto a relievo	0.643	
abolone	1	material	embedding	abolone		albite	0.57	
contour tapestry edging	1	technique	embedding	contour tapestry edging		tapestry weaving	0.621	
rayon japanese bookcloth	1	material	embedding	rayon japanese bookcloth		bookcloth (textile material)	0.785	
vinyl glove	1	material	embedding	vinyl glove		vinyl	0.669	
simulated lizard skin	1	material	embedding	simulated lizard skin		lizard (leather)	0.641	
delight: one reader's childhood	1		unresolved	delight: one reader's childhood		books, binding of	0.412	
plainweave	1		unresolved	plainweave		basketweave	0.506	
15 decorative initials	1		unresolved	decorative initial		decorated	0.504	
hand-made	1	material	embedding	hand-made		paper, handmade	0.648	
albatross	1	material	embedding	albatros		terra alba	0.704	
hair?	1	material	embedding	hair?		human hair	0.761	
incomplete disbound book	1		unresolved	incomplete disbound book		disbound	0.534	
including duplicate title pages	1		unresolved	including duplicate title page		duplication (copying)	0.414	
conifer root	1	material	embedding	conifer root		root (plant material)	0.573	
warp float weave	1	material	embedding	warp float weave		pulled warp weave	0.769	
polyfil	1	material	embedding	polyfil		polymethacrylate	0.612	
red cloth	1	material	embedding	red cloth		cloth	0.784	
cinnabar traces	1	material	embedding	cinnabar trace		cinnabar (mineral)	0.666	
holographic	1	technique	embedding	holographic		holography	0.895	
seta knit	1	technique	embedding	seta knit		knitted	0.755	
book contained in three boxes fitted	1		unresolved	book contained in three boxes fitted		binding of books	0.526	
separate text in accordion-binding	1	technique	embedding	separate text in accordion-binding		accordion fold	0.642	
shredded nylon	1	material	embedding	shredded nylon		nylon	0.871	
elk antler	1	material	embedding	elk antler		antler (material)	0.609	
which 1 is apparently not included	1		unresolved	which 1 is apparently not included		gh\u012b	0.31	
plum metallic nylon lace	1	material	embedding	plum metallic nylon lace		knotted lace	0.68	
applied metal disks	1	material	embedding	applied metal disk		disk film	0.611	
spray can tops	1	material	embedding	spray can top		spray paint	0.588	
digital photographs	1	technique	embedding	digital photograph		digital photography (imaging)	0.858	
rim	1	technique	embedding	rim		wheel-throwing	0.579	
senufo	1	material	embedding	senufo		sennit	0.694	
paste jewel	1	material	embedding	paste jewel		paste diamond	0.802	
synthetic metallic cord	1	material	embedding	synthetic metallic cord		cord (fiber product)	0.644	
edition binding	1	technique	embedding	edition binding		edition binding (process)	0.733	
black covered slipcase	1		unresolved	black covered slipcase		slip decoration	0.53	
ribbed	1	material	embedding	ribbed		rib weave	0.686	
some double page	1	technique	embedding	some double page		double-printed	0.593	
twelve color trial proofs	1		unresolved	color trial proof		conservation colors	0.517	
10 poems	1		unresolved	poem		written	0.414	
election posters	1	material	embedding	election poster		poster paint	0.606	
applied feathers	1	material	embedding	applied feather		feathers (material)	0.798	
14 pieces	1	technique	embedding	piece		counting	0.579	
wire relief	1	technique	embedding	wire relief		impressed relief (technique)	0.628	
collar	1	material	embedding	collar		dog hair	0.595	
embroidered back	1	technique	embedding	embroidered back		embroidered	0.876	
472 pages offset	1		unresolved	pages offset		offset printing	0.516	
approximately 350 sheets cut out	1		unresolved	approximately 350 sheets cut out		paper cutting (paperworking process)	0.485	
miniature replicas	1		unresolved	miniature replica		replicating (image-making processes)	0.538	
mixed tape lace	1	material	embedding	mixed tape lace		tape lace	0.898	
jet buttons	1		unresolved	jet button		buttoned	0.529	
the title page in slipcase	1	not_medium	rule	the title page in slipcase		slip trailing	0.398	
21 reproductions	1		unresolved	reproduction		reproduction (copying)	0.531	
collection	1		unresolved	collection		compacted	0.455	
ten accordion fold volumes	1	technique	embedding	accordion fold volume		accordion fold	0.732	
slipcase in imitation cloth	1	material	embedding	slipcase in imitation cloth		cloth, rubberized	0.618	
"""pismo'"	1	material	embedding	"""pismo'"		pique	0.552	
etched frontispiece by james tissot	1	technique	embedding	etched frontispiece by james tissot		etched	0.553	
verso.	1	not_medium	rule	verso.		vellucent	0.54	
vertical diptych	1	technique	embedding	vertical diptych		dip brazing	0.593	
mirrors?	1	material	embedding	mirrors?		mirror glass	0.739	
quilted lambskin	1	material	embedding	quilted lambskin		sheepskin	0.75	
white metal alloy-wrapped thread	1	material	embedding	white metal alloy-wrapped thread		metal thread	0.7	
edgings	1	technique	embedding	edging		gigging	0.618	
tambour lace	1	material	embedding	tambour lace		machine lace	0.722	
one image in the text	1		unresolved	image in the text		image material	0.474	
loose sheets folded into 2 or 3 leaves	1	not_medium	rule	loose sheets folded into 2 or 3 leave		sewing, two sheets on	0.516	
overdrawn	1	technique	embedding	overdrawn		overcleaned	0.717	
whale tooth	1	material	embedding	whale tooth		bone, whale	0.745	
accordian sketchbook	1		unresolved	accordian sketchbook		sketching	0.508	
rhombodera javanensis	1		unresolved	rhombodera javanensi		palisander (wood)	0.473	
left hand part	1	material	embedding	left hand part		left-hand twist	0.673	
stapled book	1	technique	embedding	stapled book		stapled	0.806	
text pages	1		unresolved	text page		text prompts	0.516	
including map	1		unresolved	including map		mapmaking (process)	0.508	
book loose in wrappers	1	material	embedding	book loose in wrapper		papers, wrapping	0.662	
spanish lace	1	material	embedding	spanish lace		english lace	0.842	
loose in japan wrappers	1	not_medium	rule	loose in japan wrapper		food wrap	0.546	
mechanical tone	1	material	embedding	mechanical tone		toners	0.625	
orange-white-yellow embroidered lace	1	material	embedding	orange-white-yellow embroidered lace		knotted lace	0.73	
electric tools	1	technique	embedding	electric tool		tooling	0.661	
a string net core	1	not_medium	rule	a string net core		string (fiber product)	0.45	
applied jewels	1	material	embedding	applied jewel		treated diamonds	0.607	
ambossing	1	technique	embedding	ambossing		debossing	0.691	
molding paste	1	technique	embedding	molding paste		mold making	0.678	
primarily raggiana bird	1		unresolved	primarily raggiana bird		parrotia (wood)	0.531	
banana leaves	1	material	embedding	banana leave		banana (fruit)	0.74	
grosgrain ribbon ties	1	material	embedding	grosgrain ribbon tie		ribbons (materials)	0.569	
1 embossing	1	technique	embedding	embossing		embossing (technique)	0.865	
bobbin-made tape lace	1	material	embedding	bobbin-made tape lace		bobbin lace	0.839	
double-interlocked tapestry weave	1	technique	embedding	double-interlocked tapestry weave		interlocked tapestry	0.881	
some traces	1	technique	embedding	some trace		traced	0.705	
3 pages	1		unresolved	page		paginated	0.547	
white bfk rives	1	material	embedding	white bfk rive		krems white	0.58	
warp-faced plain weave bands	1	material	embedding	warp-faced plain weave band		pulled warp weave	0.762	
outside: natuurlinnen	1	material	embedding	outside: natuurlinnen		natron	0.554	
synthetic cords	1	material	embedding	synthetic cord		cords (fiber products)	0.741	
hand colored additions	1	technique	embedding	addition		expanded	0.637	
alpaca plain weave	1	material	embedding	alpaca plain weave		alpaca (wool)	0.735	
warp plain weave	1	material	embedding	warp plain weave		pulled warp weave	0.821	
mounted as upper left image	1	technique	embedding	mounted as upper left image		mounting	0.555	
epilever	1	material	embedding	epilever		epr	0.619	
vacuum-formed plexiglas backed	1		unresolved	vacuum-formed plexiglas backed		plastinated	0.479	
five objects	1		unresolved	object		object handling	0.443	
1993	1	not_medium	rule	1993		dec	0.452	
slit-tapestry technique	1	technique	embedding	slit-tapestry technique		slit tapestry	0.883	
fine laid tissue	1	material	embedding	fine laid tissue		paper, tissue	0.681	
red natural pigments	1	material	embedding	red natural pigment		red pigments	0.921	
tibetan knot	1	technique	embedding	tibetan knot		knotting	0.642	
numeric led display	1		unresolved	numeric led display		vector display	0.45	
.....	1		unresolved	.....		setts	0.306	
woo	1		unresolved	woo		wootz	0.537	
elastic band	1	material	embedding	elastic band		elastic (textile material)	0.654	
letter-press	1	technique	embedding	letter-pres		letter-press (process)	0.815	
bamboo beads	1	material	embedding	bamboo bead		bamboo (material)	0.747	
animal horns	1	material	embedding	animal horn		horn (animal material)	0.745	
light box	1	material	embedding	light box		box (wood)	0.63	
hair foundations	1	material	embedding	hair foundation		hairs (material)	0.609	
1 photograph attached to center front cover	1	not_medium	rule	photograph attached to center front		photocomposition	0.531	
photograph mounted central front cover	1	not_medium	rule	photograph mounted central front		projection, central	0.569	
split rattan	1	material	embedding	split rattan		rattan	0.79	
china	1	material	embedding	china		paint, china	0.703	
an unmounted handscroll	1	not_medium	rule	an unmounted handscroll		hand spinning	0.473	
first series	1		unresolved	first serie		u-series dating	0.449	
2 rings	1	technique	embedding	ring		ring-building	0.668	
original hologram	1	technique	embedding	original hologram		holography, video	0.68	
in ochre	1	not_medium	rule	in ochre		plumbic ochre	0.664	
metal thread crochet trim	1	material	embedding	metal thread crochet trim		metal thread	0.569	
taxidermied bird	1	technique	embedding	taxidermied bird		taxidermy	0.671	
dried pigment	1	material	embedding	dried pigment		pigment	0.779	
polyamide blend	1	material	embedding	polyamide blend		polyamide	0.837	
inlaid strips	1	technique	embedding	inlaid strip		inlaid	0.786	
vinyl lettering	1	material	embedding	vinyl lettering		vinyl	0.692	
skin tone edition	1	technique	embedding	skin tone edition		skinned	0.581	
madder root	1	material	embedding	madder root		root madder	0.971	
chenille tassels	1	material	embedding	chenille tassel		tassels	0.807	
suplementary weft	1	technique	embedding	suplementary weft		patterning, weft	0.558	
needle-run	1	technique	embedding	needle-run		fancy needlework	0.7	
indigo blue	1	material	embedding	indigo blue		red indigo	0.857	
i/iv	1		unresolved	i/iv		i (iodine)	0.49	
metallic thread crochet	1	material	embedding	metallic thread crochet		metallic thread	0.766	
11 intaglio images	1	technique	embedding	intaglio image		intaglio printing	0.608	
'enea'	1	material	embedding	'enea'		enstatite	0.585	
now covered by the mat- not typical for this kind	1	material	embedding	now covered by the mat- not typical for this kind		mat board	0.563	
beige chine applique	1	material	embedding	beige chine applique		beige (wool textile)	0.641	
correspondence in a manila envelope	1		unresolved	correspondence in a manila envelope		tracing paper, albanene	0.45	
a band	1	not_medium	rule	a band		cross-band	0.669	
metal key	1	material	embedding	metal key		metal	0.668	
tipped photographs	1	technique	embedding	tipped photograph		photographic	0.66	
8 ethchings	1		unresolved	ethching		counting	0.531	
fiber - pandanas	1	material	embedding	fiber - pandana		pandanus (textile)	0.62	
braided horsehair ribbon	1	technique	embedding	braided horsehair ribbon		braiding	0.667	
box covered in dark beige cloth	1	material	embedding	box covered in dark beige cloth		beige (wool textile)	0.598	
pictorial initials	1		unresolved	pictorial initial		autographie photographique (photographic process)	0.426	
ytraces	1	material	embedding	ytrace		yttrium	0.68	
red rep	1	material	embedding	red rep		red deal	0.63	
plexi	1	material	embedding	plexi		plasteline	0.598	
xerographed reproduction	1	technique	embedding	xerographed reproduction		xerographic process	0.687	
black smoke	1	material	embedding	black smoke		gas black	0.76	
duralar	1	material	embedding	duralar		dural	0.887	
artificial flower b) chiffon	1	material	embedding	artificial flower b) chiffon		flower (plant material)	0.625	
handmade net	1	material	embedding	handmade net		net (textile)	0.66	
book containing reproductions	1	technique	embedding	book containing reproduction		reproduction (copying)	0.584	
color à la poupée	1	technique	embedding	à la poupée		\u00e0 la poup\u00e9e	0.569	
looping?	1		unresolved	looping?		loop weave, weft	0.528	
lame fabric	1	material	embedding	lame fabric		lame (textile)	0.82	
color photo-copy heat transfer	1	technique	embedding	photo-copy heat transfer		heat copying	0.752	
proof state 9	1		unresolved	proof state 9		counter-prove (printing)	0.482	
thigh-spun merino	1	material	embedding	thigh-spun merino		merino (wool)	0.586	
indigo discharge	1	material	embedding	indigo discharge		natural indigo	0.606	
spaced warp	1	material	embedding	spaced warp		warp ends	0.739	
tent stitch	1	technique	embedding	tent stitch		tenting	0.747	
15 sepia images	1	material	embedding	sepia image		sepia (ink)	0.55	
dark gray suede	1	material	embedding	dark gray suede		suede	0.696	
sheets folded in varying ways	1	technique	embedding	sheets folded in varying way		paper-folding	0.62	
rives lightweight mounted	1		unresolved	rives lightweight mounted		mounted	0.461	
red gros de tours	1		unresolved	red gros de tour		gros point de venise	0.52	
brocade fabric	1	material	embedding	brocade fabric		brocade (textile)	0.882	
a terry-cloth covered pedestal	1	not_medium	rule	a terry-cloth covered pedestal		cloth, terry	0.519	
hide?	1	material	embedding	hide?		cow-hide	0.607	
ripped	1	technique	embedding	ripped		torn	0.632	
colored photocopy	1	technique	embedding	photocopy		photocopying	0.975	
coal dust	1	material	embedding	coal dust		coal	0.799	
electrotypes	1	technique	embedding	electrotype		electrotyped	0.903	
reverse-appliquéd plain weave	1	material	embedding	reverse-appliquéd plain weave		plain weave (textile)	0.718	
wheel-thrown	1	technique	embedding	wheel-thrown		wheel-throwing	0.933	
off-white tulle	1	material	embedding	off-white tulle		tulle (meshed textile)	0.649	
woven fiber seat	1	material	embedding	woven fiber seat		woven materials	0.709	
19 pieced	1	technique	embedding	pieced		pieced	0.705	
incompletedisbound book	1	technique	embedding	incompletedisbound book		books, binding of	0.568	
the flyleaf	1	not_medium	rule	the flyleaf		flying-white	0.524	
artist's measurements	1	material	embedding	artist's measurement		artists' materials	0.605	
organza flowers	1	material	embedding	organza flower		organza	0.752	
power tool	1		unresolved	power tool		tooling	0.541	
neon tubing mounted	1		unresolved	neon tubing mounted		neon	0.49	
smudging	1	technique	embedding	smudging		scudded	0.605	
grey metallic rayon	1	material	embedding	grey metallic rayon		rayon	0.814	
tipped onto the book	1	technique	embedding	tipped onto the book		tipped in	0.676	
plain weaver interlining	1	material	embedding	plain weaver interlining		interlining	0.688	
woven double cloth	1	material	embedding	woven double cloth		double cloth	0.89	
parian decoration	1	material	embedding	parian decoration		parian (porcelain, material)	0.649	
a005956	1		unresolved	a005956		j\u01d4zh\u00e9	0.535	
wrap-around case	1	material	embedding	wrap-around case		wrapping-paper	0.644	
27 reproductions	1		unresolved	reproduction		reproduction (copying)	0.475	
affixed	1	technique	embedding	affixed		adhered	0.596	
chording	1	material	embedding	chording		cording	0.783	
embroidered picture appliqued	1	technique	embedding	embroidered picture appliqued		embroidered	0.72	
faience amulets	1	material	embedding	faience amulet		faience tiles	0.577	
mordant dyeing	1	technique	embedding	mordant dyeing		dyeing	0.775	
a botanical pressing	1	not_medium	rule	a botanical pressing		plant material	0.572	
loose within wrappers	1	not_medium	rule	loose within wrapper		wrap, food	0.665	
perhaps later	1		unresolved	perhaps later		laterite	0.445	
drypoiint	1	material	embedding	drypoiint		dry laid	0.598	
power-tool abrasion	1	technique	embedding	power-tool abrasion		abrasive cleaning	0.639	
colored pyrograph	1	technique	embedding	pyrograph		pyrographic	0.872	
metallic elastic band	1	technique	embedding	metallic elastic band		metallic toning	0.616	
fur lining	1	material	embedding	fur lining		fake fur fabric	0.744	
two adhered sheets	1	technique	embedding	adhered sheet		two sheets on	0.819	
et	1	material	embedding	et		etg	0.699	
culs-de-lampe	1	material	embedding	culs-de-lampe		cuir-bouilli	0.582	
wire frame	1	technique	embedding	wire frame		frame construction, steel	0.63	
photostat	1	technique	embedding	photostat		photostating	0.87	
imitation cloth covered chemise	1	material	embedding	imitation cloth covered chemise		cloth	0.655	
mylar images	1	material	embedding	mylar image		image material	0.603	
of children's book	1	technique	embedding	of children's book		books, binding of	0.579	
red magic marker additions	1		unresolved	red magic marker addition		magenta red (dye)	0.518	
applied pompoms	1	material	embedding	applied pompom		pomes	0.575	
white lime pigment	1	material	embedding	white lime pigment		lime blue (pigment)	0.805	
fiber string	1	material	embedding	fiber string		string (fiber product)	0.898	
glue relief	1	material	embedding	glue relief		glue	0.777	
three	1	technique	embedding	three		counting	0.642	
plaited polyester tassels	1	material	embedding	plaited polyester tassel		tassels	0.6	
mauve	1	material	embedding	mauve		permanent mauve	0.85	
commercial binders	1	material	embedding	commercial binder		binder's board	0.716	
persian border	1	material	embedding	persian border		red, persian	0.565	
gra[hite under	1	technique	embedding	gra[hite under		grattage	0.566	
double oban triptych	1		unresolved	double oban triptych		triphane	0.452	
takula powder	1	material	embedding	takula powder		powder	0.573	
woven reed	1	material	embedding	woven reed		reed (grass, material)	0.796	
rransparent	1	technique	embedding	rransparent		reparure	0.612	
four letters	1	technique	embedding	letter		lettered	0.557	
color folder	1		unresolved	folder		nautilus	0.549	
rabbit or viscacha fur	1	material	embedding	rabbit or viscacha fur		rabbit hair	0.695	
historic photographs	1	technique	embedding	historic photograph		natural history photography	0.788	
bead veil	1	technique	embedding	bead veil		weaving, bead	0.699	
plant leaves	1	material	embedding	plant leave		leaves (plant materials)	0.815	
plexi-tubes	1		unresolved	plexi-tube		tubers (plant materials)	0.416	
bound in cream wove wrappers that are side sewn japanese style	1	material	embedding	bound in cream wove wrappers that are side sewn japanese style		food wrap	0.553	
calameae	1	material	embedding	calameae		calcarenites	0.746	
mixed media including flower petal juice	1	material	embedding	mixed media including flower petal juice		mixed material (mixed media)	0.59	
double-faced weave	1	material	embedding	double-faced weave		double weave	0.876	
cloth chemise	1	material	embedding	cloth chemise		cloth	0.765	
mixed bobbin	1	material	embedding	mixed bobbin		bobbin lace	0.671	
flemish or bohemian guipure lace	1	material	embedding	flemish or bohemian guipure lace		lace, old-flemish	0.868	
venetian punto in aria	1	material	embedding	venetian punto in aria		lace, venetian	0.643	
mixed brussels applique lace	1	material	embedding	mixed brussels applique lace		lace, brussels (bobbin lace)	0.81	
colored border	1		unresolved	border		lined	0.5	
knitted beads	1	technique	embedding	knitted bead		knitted	0.651	
piqué inlaid	1	material	embedding	piqué inlaid		pique	0.713	
reconstituted amber	1	material	embedding	reconstituted amber		retinite amber	0.764	
color lithograoh	1	material	embedding	lithograoh		lithopone	0.713	
belgian bobbin lace	1	material	embedding	belgian bobbin lace		flemish bobbin lace	0.937	
burano needle lace	1	material	embedding	burano needle lace		burano lace	0.9	
seed	1	material	embedding	seed		seed (material)	0.77	
8 pages	1	technique	embedding	page		paginated	0.554	
